tweet_user_x,tweet_id,tweet_url,tweet_text,Number_of_panels,type_of_image,scale,type_of_subject,attributes_of_subject,contains_words,face_posture_emotion,narrative_old,narrative,emotional_appeal,intent,actor,Notes,Labeler,overlap,date,retweet_count,favorite_count,followers_int,tweet_user_y,Number_of_panels_b,type_of_image_ar,type_of_image_illustration,type_of_image_screenshot,scale_ar,scale_other,scale_closeup,scale_long,type_of_subject_ar,type_of_subject_text,type_of_subject_object,type_of_subject_scene,type_of_subject_creature,type_of_subject_other,attributes_of_subject_ar,attributes_of_subject_posture,attributes_of_subject_na,attributes_of_subject_poster,attributes_of_subject_scene,contains_words_ar,contains_words_no,face_posture_emotion_ar,face_posture_emotion_neutral,face_posture_emotion_positive,face_posture_emotion_negative,narrative_ar,narrative_hero,narrative_fool,narrative_villain,narrative_victim,narrative_other,emotional_appeal_ar,emotional_appeal_pride,emotional_appeal_humor,emotional_appeal_outrage,emotional_appeal_compassion,emotional_appeal_fear,emotional_appeal_encouragement,emotional_appeal_sadness,emotional_appeal_gratitude,emotional_appeal_hope,emotional_appeal_thankfulness,intent_ar,intent_info,intent_call_to_action,actor_ar,actor_ukr_military,actor_rus_military,actor_ukr_civilians,actor_russia,actor_putin,actor_ukraine,actor_zelensky,actor_west,tweet_user_DefenceU,tweet_user_uamemesforces,tweet_user_OFFICIAL,sample_weight,tweet_user_Ukraine,day,days_from_start,followers_log,np.log2(followers_int + 1),actor_simplified
Ukraine,1499280918900625409,https://twitter.com/Ukraine/status/1499280918900625409,"‘Life Will Win Over Death. Light Will Win Over Darkness’

Historic ⁦@TIME⁩ cover with ⁦@ZelenskyyUa⁩’s quote",single,illustration,medium,other,poster,yes,na,hero,hero,pride,other,ukraine,,Gianmarco,,2022-03-03 07:10:01+00:00,5267,29381,1688627.0,Ukraine,0,['illustration'],1,0,['medium'],0,0,0,['other'],0,0,0,0,1,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,['hero'],1,0,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,['ukraine'],0,0,0,0,0,1,0,False,0,0,1,6.947712418300654,1,2022-03-03,8.0,20.687420110805274,20.687420110805274,Ukraine
DefenceU,1507697563700506624,https://twitter.com/DefenceU/status/1507697563700506624,"🔊@ZelenskyyUa:
Victory for Ukraine and peace for Ukraine are achievable.
And they will be more valuable for us than gold, silver and bronze of the whole world.
Well, for now...
We are standing! We are holding on! We will win!",multiple,photo,medium,character,posture,no,neutral,hero,hero,pride,other,ukr military,,Yelena,,2022-03-26 12:34:45+00:00,697,4600,832740.4000281416,DefenceU,1,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['no'],1,['neutral'],1,0,0,['hero'],1,0,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,['ukr military'],1,0,0,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-03-26,31.0,19.667509024266106,19.667509024266106,Ukr milit.
uamemesforces,1545411479905730560,https://twitter.com/uamemesforces/status/1545411479905730560,https://t.co/SnHha1Z2c9,multiple,illustration,medium,character,facial expression,yes,negative,fool,fool,humor,other,russia,,Yelena,,2022-07-08 14:16:23+00:00,1192,13246,234144.8863022228,uamemesforces,1,['illustration'],1,0,['medium'],0,0,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['yes'],0,['negative'],0,0,1,['fool'],0,1,0,0,0,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['russia'],0,0,0,1,0,0,0,False,0,1,0,0.775346462436178,0,2022-07-08,135.0,17.837048166056892,17.837048166056892,Russia
uamemesforces,1520824292602224640,https://twitter.com/uamemesforces/status/1520824292602224640,https://t.co/9kEnuadV2y,single,illustration,medium,creature,posture,yes,negative,fool,fool,humor,other,putin,,Corrdao,,2022-05-01 17:55:41+00:00,337,5476,162661.30389291595,uamemesforces,0,['illustration'],1,0,['medium'],0,0,0,['creature'],0,0,0,1,0,['posture'],1,0,0,0,['yes'],0,['negative'],0,0,1,['fool'],0,1,0,0,0,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['putin'],0,0,0,0,1,0,0,False,0,1,0,0.775346462436178,0,2022-05-01,67.0,17.311520427427208,17.311520427427208,Putin
DefenceU,1547233816846258176,https://twitter.com/DefenceU/status/1547233816846258176,".@ZelenskyyUa 
“Two million of our people have already been taken to russia. Several hundred thousand of them are children… They are trying to take them to remote areas of russia to make it as difficult as possible for them to return to their homeland.”
📷 Alexander Nemenov/AFP",single,photo,medium,character,posture,no,negative,"victim, villain","victim, villain","fear, outrage",other,"ukr civilians, rus gov",,Yelena,,2022-07-13 14:57:42+00:00,1704,4526,1158663.0,DefenceU,0,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['no'],1,['negative'],0,0,1,"['victim', 'villain']",0,0,1,1,0,"['fear', 'outrage']",0,0,1,0,1,0,0,0,0,0,['other'],0,0,"['ukr civilians', 'rus gov']",0,0,1,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-07-13,140.0,20.144030830394684,20.144030830394684,Ukr civil.
uamemesforces,1505927210028331012,https://twitter.com/uamemesforces/status/1505927210028331012,https://t.co/FC3wdGW1Uj,single,illustration,medium,character,facial expression,yes,"positive, negative","fool, hero","fool, hero",pride,other,"rus military, ukr military",,Yelena,,2022-03-21 15:20:00+00:00,106,1481,90856.42795500589,uamemesforces,0,['illustration'],1,0,['medium'],0,0,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['yes'],0,"['positive', 'negative']",0,1,1,"['fool', 'hero']",1,1,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,"['rus military', 'ukr military']",1,1,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-03-21,26.0,16.471316844870593,16.471316844870593,Ukr milit.
uamemesforces,1514106105479147521,https://twitter.com/uamemesforces/status/1514106105479147521,https://t.co/bHk5uBG9Fz,single,illustration,medium,character,posture,yes,negative,"victim, villain, fool","villain, victim, fool, fool",outrage,other,"russia, ukraine, western business, western gov",,Yelena,,2022-04-13 05:00:00+00:00,2040,12195,133264.27576064115,uamemesforces,0,['illustration'],1,0,['medium'],0,0,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['yes'],0,['negative'],0,0,1,"['villain', 'victim', 'fool', 'fool']",0,1,1,1,0,['outrage'],0,0,1,0,0,0,0,0,0,0,['other'],0,0,"['russia', 'ukraine', 'western business', 'western gov']",0,0,0,1,0,1,0,False,0,1,0,0.775346462436178,0,2022-04-13,49.0,17.023941388291714,17.023941388291714,Russia
uamemesforces,1514136305378250753,https://twitter.com/uamemesforces/status/1514136305378250753,https://t.co/7uTRRbqrhe,multiple,photo,medium,object,na,yes,na,hero,hero,pride,other,,cyramic statue as a symbol of ukraine culture?,Yelena,,2022-04-13 07:00:01+00:00,857,8100,133396.43695248227,uamemesforces,1,['photo'],0,0,['medium'],0,0,0,['object'],0,1,0,0,0,['na'],0,1,0,0,['yes'],0,['na'],0,0,0,['hero'],1,0,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,[],0,0,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-04-13,49.0,17.025371421832876,17.025371421832876,none
DefenceU,1519614129610313729,https://twitter.com/DefenceU/status/1519614129610313729,"Втрати ворога в інфографіці 👇
@armyinformcomua",single,illustration,other,text,poster,yes,na,"hero, fool","fool, hero",pride,info,"rus military, ukr military",,Yelena,,2022-04-28 09:46:56+00:00,486,2638,1012911.3061030224,DefenceU,0,['illustration'],1,0,['other'],1,0,0,['text'],1,0,0,0,0,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,"['fool', 'hero']",1,1,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['info'],1,0,"['rus military', 'ukr military']",1,1,0,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-04-28,64.0,19.950077846102186,19.950077846102186,Ukr milit.
uamemesforces,1501229525413216261,https://twitter.com/uamemesforces/status/1501229525413216261,https://t.co/JtnVDDUOrh,single,illustration,closeup,object,poster,yes,na,other,other,humor,other,UN,,Gianmarco,,2022-03-08 16:13:05+00:00,1024,10657,22208.18663476163,uamemesforces,0,['illustration'],1,0,['closeup'],0,1,0,['object'],0,1,0,0,0,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,['other'],0,0,0,0,1,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,['UN'],0,0,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-03-08,13.0,14.438868937698507,14.438868937698507,none
